Name	Start	Duration	Time Format	Type	Description
2-1a	0:00.000	0:22.133	decimal	Cue	
2-1b	0:22.873	0:02.492	decimal	Cue	
2-1c	0:25.366	0:16.135	decimal	Cue	
2-2	0:41.502	0:33.694	decimal	Cue	
2-3	1:19.007	0:04.676	decimal	Cue	
2-4	1:24.495	0:08.692	decimal	Cue	
2-5	1:33.188	0:29.881	decimal	Cue	
2-6	2:05.015	0:14.984	decimal	Cue	
2-7	2:20.000	0:14.341	decimal	Cue	
2-8	2:35.314	0:10.200	decimal	Cue	
2-9	2:46.731	0:03.268	decimal	Cue	
2-10	2:51.224	0:03.867	decimal	Cue	
2-11	2:55.092	0:03.415	decimal	Cue	
2-12	2:58.507	0:04.378	decimal	Cue	
2-12a	3:02.886	0:02.850	decimal	Cue	
2-12b	3:04.083	0:01.653	decimal	Cue	
2-12c	3:05.736	0:01.365	decimal	Cue	
2-13a	3:08.245	0:03.087	decimal	Cue	
2-13b	3:11.891	0:01.495	decimal	Cue	
2-16a	3:20.000	0:02.062	decimal	Cue	
2-16c	3:25.625	0:02.139	decimal	Cue	
2-17a	3:31.853	0:02.363	decimal	Cue	
2-14	3:35.000	0:07.635	decimal	Cue	
2-tailslap-practice	3:43.947	0:15.469	decimal	Cue	
2-step00	4:01.745	0:04.957	decimal	Cue	
2-step01	4:08.355	0:03.821	decimal	Cue	
2-step02	4:13.790	0:06.403	decimal	Cue	
2-step03	4:21.884	0:06.403	decimal	Cue	
2-step04	4:30.000	0:07.229	decimal	Cue	
2-tailslap-go	4:38.826	0:05.473	decimal	Cue	
2-15	4:45.849	0:04.501	decimal	Cue	
2-16b	4:52.446	0:13.321	decimal	Cue	
2-16d	5:07.534	0:05.502	decimal	Cue	
2-17b	5:15.365	0:15.240	decimal	Cue	
2-18	5:32.346	0:18.800	decimal	Cue	
